Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2017,7/6/2017, Traded by the Indiana Pacers to the Oklahoma City Thunder for Victor Oladipo and Domantas Sabonis.,Paul George,Traded,no,no
2017,7/6/2017," As part of a 3-team trade, traded by the Los Angeles Clippers with Diamond Stone, $1.3M and a 2018 1st round draft pick (Omari Spellman was later selected) to the Atlanta Hawks",Jamal Crawford,As,no,no
2017,7/6/2017, Signed a contract with the Phoenix Suns,Davon Reed,Signed,Phoenix Suns,Phoenix Suns
2017,7/6/2017, Traded by the Philadelphia 76ers to the Los Angeles Clippers for $3.2M cash.,Jawun Evans,Traded,no,no
2017,7/6/2017, Signed a multi-year contract with the Sacramento Kings,Justin Jackson,Signed,Sacramento Kings,Sacramento Kings
2017,7/6/2017, Signed a multi-year contract with the Charlotte Hornets,Dwayne Bacon,Signed,Charlotte Hornets,Charlotte Hornets
2017,7/6/2017, Signed a multi-year contract with the Houston Rockets,Nenê,Signed,Houston Rockets,Houston Rockets
2017,7/6/2017," As part of a 3-team trade, traded by the Denver Nuggets to the Los Angeles Clippers",Danilo Gallinari,As,no,no
2017,7/6/2017, Signed a contract with the Golden State Warriors,David West,Signed,Golden State Warriors,Golden State Warriors
2017,7/6/2017, Signed a two-way contract with the Toronto Raptors,Malcolm Miller,Signed,Toronto Raptors,Toronto Raptors
2017,7/6/2017, Traded by the Oklahoma City Thunder with Victor Oladipo to the Indiana Pacers for Paul George.,Domantas Sabonis,Traded,no,no
2017,7/6/2017, Signed a multi-year contract with the Milwaukee Bucks,D.J. Wilson,Signed,Milwaukee Bucks,Milwaukee Bucks
2017,7/6/2017, Signed a multi-year contract with the Houston Rockets,P.J. Tucker,Signed,Houston Rockets,Houston Rockets
2017,7/6/2017, Signed a multi-year contract with the Detroit Pistons,Eric Moreland,Signed,Detroit Pistons,Detroit Pistons
2017,7/6/2017, Signed a multi-year contract with the San Antonio Spurs,Rudy Gay,Signed,San Antonio Spurs,San Antonio Spurs
2017,7/6/2017, Signed a multi-year contract with the Denver Nuggets,Tyler Lydon,Signed,Denver Nuggets,Denver Nuggets
2017,7/6/2017, Signed a multi-year contract with the Dallas Mavericks,Dirk Nowitzki,Signed,Dallas Mavericks,Dallas Mavericks
2018,7/6/2018, Signed a contract with the Houston Rockets,Gary Clark,Signed,Houston Rockets,Houston Rockets
2018,7/6/2018," Traded by the Brooklyn Nets with Hamidou Diallo, cash and a 2021 2nd round draft pick (Balša Koprivica was later selected) to the Charlotte Hornets for Dwight Howard. $5MM",Timofey Mozgov,Traded,no,no
2018,7/6/2018, Signed a contract with the Houston Rockets,Vince Edwards,Signed,Houston Rockets,Houston Rockets
2018,7/6/2018, Signed a multi-year contract with the Charlotte Hornets,Devonte' Graham,Signed,Charlotte Hornets,Charlotte Hornets
2018,7/6/2018, Signed a multi-year contract with the Los Angeles Lakers,Isaac Bonga,Signed,Los Angeles Lakers,Los Angeles Lakers
2018,7/6/2018, Waived by the Dallas Mavericks.,Kyle Collinsworth,Waived,no,no
2018,7/6/2018," Traded by the Denver Nuggets (as a future 2021 2nd round draft pick) with Wilson Chandler and a 2022 2nd round draft pick to the Philadelphia 76ers for cash. (2022 2nd-rd pick is a swap.) $110,000",Aaron Wiggins,Traded,no,no
2018,7/6/2018, Signed as a free agent with the Golden State Warriors.,DeMarcus Cousins,Signed,Golden State Warriors.,Golden State Warriors
2018,7/6/2018, Signed as a free agent with the Los Angeles Lakers.,Kentavious Caldwell-Pope,Signed,Los Angeles Lakers.,Los Angeles Lakers
2018,7/6/2018, Signed as a free agent with the Philadelphia 76ers.,J.J. Redick,Signed,Philadelphia 76ers.,Philadelphia 76ers
2018,7/6/2018, Signed a two-way contract with the Oklahoma City Thunder,Deonte Burton,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2018,7/6/2018, Signed as a free agent with the Houston Rockets.,Michael Carter-Williams,Signed,Houston Rockets.,Houston Rockets
2018,7/6/2018, Signed as a free agent with the Portland Trail Blazers.,Jusuf Nurkić,Signed,Portland Trail Blazers.,Portland Trail Blazers
2018,7/6/2018, Waived by the Indiana Pacers.,Alex Poythress,Waived,no,no
2018,7/6/2018, Signed as a free agent with the Los Angeles Lakers.,Rajon Rondo,Signed,Los Angeles Lakers.,Los Angeles Lakers
2018,7/6/2018, Signed as a free agent with the Utah Jazz.,Raul Neto,Signed,Utah Jazz.,Utah Jazz
2018,7/6/2018, Signed as a free agent with the Phoenix Suns.,Trevor Ariza,Signed,Phoenix Suns.,Phoenix Suns
2018,7/6/2018, Signed as a free agent with the Oklahoma City Thunder.,Paul George,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2018,7/6/2018, Signed as a free agent with the Indiana Pacers.,Doug McDermott,Signed,Indiana Pacers.,Indiana Pacers
2018,7/6/2018, Signed as a free agent with the Indiana Pacers.,Tyreke Evans,Signed,Indiana Pacers.,Indiana Pacers
2018,7/6/2018, Signed a multi-year contract with the Detroit Pistons,Bruce Brown,Signed,Detroit Pistons,Detroit Pistons
2018,7/6/2018, Signed a multi-year contract with the Portland Trail Blazers,Gary Trent Jr.,Signed,Portland Trail Blazers,Portland Trail Blazers
2018,7/6/2018, Traded by the Los Angeles Lakers (as a future 2019 2nd round draft pick) with cash to the Philadelphia 76ers for a 2018 draft pick (Isaac Bonga was later selected). (2019 2nd-rd pick is CHI's pick.) $1.5MM,Bruno Fernando,Traded,no,no
2018,7/6/2018, Signed as a free agent with the Dallas Mavericks.,DeAndre Jordan,Signed,Dallas Mavericks.,Dallas Mavericks
2018,7/6/2018, Signed a multi-year contract with the Orlando Magic,Melvin Frazier,Signed,Orlando Magic,Orlando Magic
2018,7/6/2018, Signed as a free agent with the New York Knicks.,Mario Hezonja,Signed,New York Knicks.,New York Knicks
2018,7/6/2018, Signed a multi-year contract with the Orlando Magic,Isaiah Briscoe,Signed,Orlando Magic,Orlando Magic
2018,7/6/2018, Signed as a free agent with the Oklahoma City Thunder.,Nerlens Noel,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2018,7/6/2018, Signed as a free agent with the Orlando Magic.,Aaron Gordon,Signed,Orlando Magic.,Orlando Magic
2018,7/6/2018, Signed as a free agent with the Utah Jazz.,Derrick Favors,Signed,Utah Jazz.,Utah Jazz
2018,7/6/2018, Signed a multi-year contract with the Phoenix Suns,Elie Okobo,Signed,Phoenix Suns,Phoenix Suns
2018,7/6/2018," Traded by the Denver Nuggets with a 2021 2nd round draft pick (Aaron Wiggins was later selected) and a 2022 2nd round draft pick to the Philadelphia 76ers for cash. (2022 2nd-rd pick is a swap.) $110,000",Wilson Chandler,Traded,no,no
2018,7/6/2018, Traded by the Philadelphia 76ers (as a future 2018 round draft pick) to the Los Angeles Lakers for cash and a 2019 2nd round draft pick (Bruno Fernando was later selected). (2019 2nd-rd pick is CHI's pick.) $1.5MM,Isaac Bonga,Traded,no,no
2018,7/6/2018, Signed as a free agent with the Boston Celtics.,Aron Baynes,Signed,Boston Celtics.,Boston Celtics
2018,7/6/2018, Signed as a free agent with the Utah Jazz.,Dante Exum,Signed,Utah Jazz.,Utah Jazz
2018,7/6/2018," Traded by the Brooklyn Nets with Timofey Mozgov, cash and a 2021 2nd round draft pick (Balša Koprivica was later selected) to the Charlotte Hornets for Dwight Howard. $5MM",Hamidou Diallo,Traded,no,no
2018,7/6/2018," Traded by the Oklahoma City Thunder (as a future 2019 2nd round draft pick) with cash to the Charlotte Hornets for Hamidou Diallo. $243,000",Jalen McDaniels,Traded,no,no
2018,7/6/2018," Traded by the Charlotte Hornets to the Oklahoma City Thunder for cash and a 2019 2nd round draft pick (Jalen McDaniels was later selected). $243,000",Hamidou Diallo,Traded,no,no
2018,7/6/2018, Signed as a free agent with the Toronto Raptors.,Fred VanVleet,Signed,Toronto Raptors.,Toronto Raptors
2018,7/6/2018, Signed as a free agent with the New York Knicks.,Luke Kornet,Signed,New York Knicks.,New York Knicks
2018,7/6/2018," Traded by the Charlotte Hornets to the Brooklyn Nets for Hamidou Diallo, Timofey Mozgov, cash and a 2021 2nd round draft pick (Balša Koprivica was later selected). $5MM",Dwight Howard,Traded,no,no
2018,7/6/2018, Signed as a free agent with the Portland Trail Blazers.,Seth Curry,Signed,Portland Trail Blazers.,Portland Trail Blazers
2018,7/6/2018, Signed a multi-year contract with the Minnesota Timberwolves,Keita Bates-Diop,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Lonzo Ball, Josh Hart, De'Andre Hunter, cash, a 2021 1st round draft pick (Isaiah Jackson was later selected), a 2023 1st round draft pick and a 2024 1st round draft pick to the New Orleans Pelicans",Brandon Ingram,,no,no
2019,7/6/2019, Signed a multi-year contract with the Dallas Mavericks (Signing is extension on deal signed in 2016.),Dwight Powell,Signed,Dallas Mavericks (Signing is e,Dallas Mavericks (Signing is e
2019,7/6/2019, Signed as a free agent with the Los Angeles Lakers.,Danny Green,Signed,Los Angeles Lakers.,Los Angeles Lakers
2019,7/6/2019, Signed as a free agent with the Sacramento Kings.,Cory Joseph,Signed,Sacramento Kings.,Sacramento Kings
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Josh Hart, De'Andre Hunter, Brandon Ingram, cash, a 2021 1st round draft pick (Isaiah Jackson was later selected), a 2023 1st round draft pick and a 2024 1st round draft pick to the New Orleans Pelicans",Lonzo Ball,,no,no
2019,7/6/2019, Traded by the Brooklyn Nets with Allen Crabbe and a 2020 1st round draft pick (Aleksej Pokusevski was later selected) to the Atlanta Hawks for Taurean Prince and a 2021 2nd round draft pick (Marcus Zegarowski was later selected).,Nickeil Alexander-Walker,Traded,no,no
2019,7/6/2019," Traded by the Boston Celtics with a 2020 2nd round draft pick (Grant Riller was later selected) to the Charlotte Hornets for Kemba Walker and a 2020 2nd round draft pick (Yam Madar was later selected). (2020 second-round pick is BRK's or NYK's, whichever is least favorable.) (top-53 protected)",Terry Rozier,,no,no
2019,7/6/2019, Traded by the Minnesota Timberwolves with Cameron Johnson to the Phoenix Suns for Jarrett Culver.,Dario Šarić,Traded,no,no
2019,7/6/2019, Waived by the Orlando Magic.,Timofey Mozgov,Waived,no,no
2019,7/6/2019, Signed as a free agent with the Chicago Bulls.,Thaddeus Young,Signed,Chicago Bulls.,Chicago Bulls
2019,7/6/2019, Traded by the Boston Celtics with Ty Jerome to the Phoenix Suns for a 2020 1st round draft pick (Desmond Bane was later selected). (top-7 protected),Aron Baynes,Traded,no,no
2019,7/6/2019, Signed a multi-year contract with the Phoenix Suns,Cameron Johnson,Signed,Phoenix Suns,Phoenix Suns
2019,7/6/2019," Traded by the Boston Celtics (as a future 2020 2nd round draft pick) with Terry Rozier to the Charlotte Hornets for Kemba Walker and a 2020 2nd round draft pick (Yam Madar was later selected). (2020 second-round pick is BRK's or NYK's, whichever is least favorable.) (top-53 protected)",Grant Riller,,no,no
2019,7/6/2019," As part of a 4-team trade, traded by the Portland Trail Blazers to the Los Angeles Clippers",Maurice Harkless,As,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the Phoenix Suns to the Miami Heat",KZ Okpala,As,no,no
2019,7/6/2019, Traded by the Phoenix Suns to the Minnesota Timberwolves for Cameron Johnson and Dario Šarić.,Jarrett Culver,Traded,no,no
2019,7/6/2019, Signed a multi-year contract with the Golden State Warriors,Jordan Poole,Signed,Golden State Warriors,Golden State Warriors
2019,7/6/2019, Waived by the Los Angeles Clippers.,Sindarius Thornwell,Waived,no,no
2019,7/6/2019," Traded by the Utah Jazz with Grayson Allen, Jae Crowder, Kyle Korver and a 2020 1st round draft pick to the Memphis Grizzlies for Mike Conley. (1-7 and 15-30 protected)",Darius Bazley,Traded,no,no
2019,7/6/2019," As part of a 4-team trade, traded by the Portland Trail Blazers to the Miami Heat",Meyers Leonard,As,no,no
2019,7/6/2019," As part of a 4-team trade, traded by the Miami Heat to the Portland Trail Blazers",Hassan Whiteside,As,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Lonzo Ball, Josh Hart, Brandon Ingram, cash, a 2021 1st round draft pick (Isaiah Jackson was later selected), a 2023 1st round draft pick and a 2024 1st round draft pick to the New Orleans Pelicans",De'Andre Hunter,,no,no
2019,7/6/2019, Traded by the Washington Wizards to the Memphis Grizzlies for C.J. Miles.,Dwight Howard,Traded,no,no
2019,7/6/2019, Signed as a free agent with the Orlando Magic.,Al-Farouq Aminu,Signed,Orlando Magic.,Orlando Magic
2019,7/6/2019," Traded by the Milwaukee Bucks to the Indiana Pacers for a 2020 1st round draft pick (R.J. Hampton was later selected), a 2022 2nd round draft pick and a 2025 2nd round draft pick. (IND's 2021 second-round pick will convey one year after IND's 2020 second-round pick conveys. IND's 2020 second-round pick is 45-60 protected through 2022 and unprotected in 2023. IND’s 2020 second-round pick conveyed 2021.)",Malcolm Brogdon,,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the New Orleans Pelicans to the Los Angeles Lakers",Anthony Davis,As,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the San Antonio Spurs to the Washington Wizards",Dāvis Bertāns,As,no,no
2019,7/6/2019, Traded by the Indiana Pacers (as a future 2020 1st round draft pick) with a 2022 2nd round draft pick and a 2025 2nd round draft pick to the Milwaukee Bucks for Malcolm Brogdon. (IND's 2021 second-round pick will convey one year after IND's 2020 second-round pick conveys. IND's 2020 second-round pick is 45-60 protected through 2022 and unprotected in 2023. IND’s 2020 second-round pick conveyed 2021.),R.J. Hampton,,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Lonzo Ball, De'Andre Hunter, Brandon Ingram, cash, a 2021 1st round draft pick (Isaiah Jackson was later selected), a 2023 1st round draft pick and a 2024 1st round draft pick to the New Orleans Pelicans",Josh Hart,,no,no
2019,7/6/2019, Traded by the Memphis Grizzlies with a 2024 2nd round draft pick to the Oklahoma City Thunder for Brandon Clarke.,Darius Bazley,Traded,no,no
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Jemerrio Jones, Moritz Wagner and a 2022 2nd round draft pick to the Washington Wizards",Isaac Bonga,As,no,no
2019,7/6/2019, Traded by the Oklahoma City Thunder to the Memphis Grizzlies for Darius Bazley and a 2024 2nd round draft pick.,Brandon Clarke,Traded,no,no
2019,7/6/2019, Signed a multi-year contract with the New York Knicks,Ignas Brazdeikis,Signed,New York Knicks,New York Knicks
2019,7/6/2019, Signed as a free agent with the Los Angeles Lakers.,Kentavious Caldwell-Pope,Signed,Los Angeles Lakers.,Los Angeles Lakers
2019,7/6/2019," As part of a 3-team trade, traded by the Brooklyn Nets to the San Antonio Spurs",DeMarre Carroll,As,no,no
2019,7/6/2019, Signed as a free agent with the Washington Wizards.,Thomas Bryant,Signed,Washington Wizards.,Washington Wizards
2019,7/6/2019," Traded by the Memphis Grizzlies to the Utah Jazz for Grayson Allen, Darius Bazley, Jae Crowder, Kyle Korver and a 2020 1st round draft pick. (1-7 and 15-30 protected)",Mike Conley,Traded,no,no
2019,7/6/2019," Traded by the Utah Jazz with Darius Bazley, Jae Crowder, Kyle Korver and a 2020 1st round draft pick to the Memphis Grizzlies for Mike Conley. (1-7 and 15-30 protected)",Grayson Allen,Traded,no,no
2019,7/6/2019, Signed as a free agent with the Milwaukee Bucks.,Brook Lopez,Signed,Milwaukee Bucks.,Milwaukee Bucks
2019,7/6/2019, Signed as a free agent with the Orlando Magic.,Nikola Vučević,Signed,Orlando Magic.,Orlando Magic
2019,7/6/2019, Signed as a free agent with the Detroit Pistons.,Derrick Rose,Signed,Detroit Pistons.,Detroit Pistons
2019,7/6/2019, Traded by the Phoenix Suns (as a future 2020 1st round draft pick) to the Boston Celtics for Aron Baynes and Ty Jerome. (top-7 protected),Desmond Bane,Traded,no,no
2019,7/6/2019, Signed as a free agent with the Detroit Pistons.,Tim Frazier,Signed,Detroit Pistons.,Detroit Pistons
2019,7/6/2019," Traded by the Utah Jazz with Grayson Allen, Darius Bazley, Jae Crowder and a 2020 1st round draft pick to the Memphis Grizzlies for Mike Conley. (1-7 and 15-30 protected)",Kyle Korver,Traded,no,no
2019,7/6/2019, Signed as a free agent with the Portland Trail Blazers.,Rodney Hood,Signed,Portland Trail Blazers.,Portland Trail Blazers
2019,7/6/2019, Signed as a free agent with the Los Angeles Lakers.,DeMarcus Cousins,Signed,Los Angeles Lakers.,Los Angeles Lakers
2019,7/6/2019, Waived by the Miami Heat.,Ryan Anderson,Waived,no,no
2019,7/6/2019, Signed as a free agent with the Brooklyn Nets.,DeMarre Carroll,Signed,Brooklyn Nets.,Brooklyn Nets
2019,7/6/2019, Waived by the Chicago Bulls.,Shaquille Harrison,Waived,no,no
2019,7/6/2019, Traded by the Memphis Grizzlies to the Washington Wizards for Dwight Howard.,C.J. Miles,Traded,no,no
2019,7/6/2019, Signed as a free agent with the Orlando Magic.,Terrence Ross,Signed,Orlando Magic.,Orlando Magic
2019,7/6/2019, Signed as a free agent with the Boston Celtics.,Terry Rozier,Signed,Boston Celtics.,Boston Celtics
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Isaac Bonga, Jemerrio Jones and a 2022 2nd round draft pick to the Washington Wizards",Moritz Wagner,As,no,no
2019,7/6/2019, Traded by the Boston Celtics with Aron Baynes to the Phoenix Suns for a 2020 1st round draft pick (Desmond Bane was later selected). (top-7 protected),Ty Jerome,Traded,no,no
2019,7/6/2019, Signed a multi-year contract with the Phoenix Suns,Ty Jerome,Signed,Phoenix Suns,Phoenix Suns
2019,7/6/2019," As part of a 3-team trade, traded by the Los Angeles Lakers with Isaac Bonga, Moritz Wagner and a 2022 2nd round draft pick to the Washington Wizards",Jemerrio Jones,As,no,no
2019,7/6/2019, Signed a multi-year contract with the Phoenix Suns,Jalen Lecque,Signed,Phoenix Suns,Phoenix Suns
2019,7/6/2019, Traded by the Minnesota Timberwolves with Dario Šarić to the Phoenix Suns for Jarrett Culver.,Cameron Johnson,Traded,no,no
